Country,Year,Population,Christians,Muslims,Religiously_unaffiliated,Buddhists,Hindus,Jews,Other_religions,Level
Japan,2020,126304543,2841385,214685,72569749,46992375,40086,1738,3644524,1
Jordan,2020,10865228,305222,10548712,5150,2048,3032,0,1064,1
Kazakhstan,2020,19482117,3758462,15177451,493764,17746,0,8195,26499,1
Kenya,2020,52217334,44734739,5707957,837272,502,66790,301,869771,1
Kiribati,2020,126099,123035,108,127,0,0,0,2830,1
Kosovo,2020,1751417,98050,1650893,2435,0,0,39,0,1
Kuwait,2020,4400144,463351,3530671,10924,5344,374197,476,15180,1
Kyrgyzstan,2020,6664140,383412,6112180,77955,2178,622,311,87481,1
Laos,2020,7346533,113096,1627,3881,4713753,0,0,2514175,1
Latvia,2020,1901124,1468952,12745,322693,1313,822,4309,90289,1
Lebanon,2020,5702398,1591319,3865288,1072,379,988,322,243029,1
Lesotho,2020,2235727,2175887,4884,37223,1,992,99,16641,1
Liberia,2020,5149464,4385745,655193,54919,0,304,0,53303,1
Libya,2020,7045399,36961,6974559,3480,18177,6341,134,5746,1
Lithuania,2020,2795765,2576310,2494,197942,714,515,1036,16753,1
Luxembourg,2020,630597,415487,11533,159455,3024,2271,3066,35762,1
Macao,2020,683067,69111,3252,461848,133571,0,0,15284,1
Madagascar,2020,28953557,21485099,335713,6455437,7950,18434,103,650821,1
Malawi,2020,19533888,17065264,2256536,183881,302,13508,302,14094,1
Malaysia,2020,33889559,3101974,21729035,286258,6396860,2074780,0,300653,1
Maldives,2020,502119,8265,472355,342,6643,12759,0,1755,1
Mali,2020,21713836,558426,20440039,548341,0,0,0,167029,1
Malta,2020,518207,459129,18878,27180,3145,7334,1487,1053,1
Martinique,2020,356615,342494,774,9752,143,847,0,2606,1
Mauritania,2020,4600131,10754,4562658,4899,0,0,102,21717,1
Mauritius,2020,1283223,421625,224716,9667,5070,619660,43,2443,1
Mayotte,2020,284371,1483,281068,511,0,0,0,1308,1
Mexico,2020,126799055,113070626,7971,13484255,23158,4967,59338,148740,1
Moldova,2020,3069131,3054839,5562,7177,109,0,602,840,1
Mongolia,2020,3290786,44178,116036,1343558,1682746,100,0,104168,1
Montenegro,2020,607935,462311,129533,6951,0,0,0,9139,1
Morocco,2020,36584208,31271,36465499,47848,0,0,2261,37329,1
Mozambique,2020,30783688,18882699,5980424,4398231,494,9873,0,1511968,1
Myanmar,2020,53016522,3252951,1773591,31093,47211798,232962,99,514027,1
Namibia,2020,2728762,2470508,3247,153666,767,1425,110,99038,1
Nepal,2020,28966575,509335,1472644,375,2377791,23516227,0,1090203,1
Netherlands,2020,17636731,6191032,970139,9544336,52697,99261,30870,748396,1
New Caledonia,2020,284177,241842,7844,29907,1776,0,100,2708,1
New Zealand,2020,5069895,2044350,68921,2603635,60459,141383,5617,145530,1
Nicaragua,2020,6565267,5567748,301,873454,282,0,97,123385,1
Niger,2020,23717614,131926,23274875,290355,0,0,0,20457,1
Nigeria,2020,213996181,92770287,119980188,811712,1027,308,103,432557,1
North Korea,2020,26136312,100372,2614,19044889,396455,414,0,6591569,1
North Macedonia,2020,1872016,1210919,650100,9653,213,0,89,1042,1
Norway,2020,5379274,3842008,221290,1207730,36996,12399,5178,53674,1
Oman,2020,4522497,365012,3698828,6344,5069,431058,320,15867,1
Pakistan,2020,235001746,2988865,226880801,29925,24673,5028337,214,48931,1
Palestinian territories,2020,5069692,50926,5017262,0,0,0,0,1504,1
Panama,2020,4293261,3913647,2280,266631,7358,3999,9997,89349,1
Papua New Guinea,2020,9815746,9726407,7339,30479,272,221,101,50926,1
Paraguay,2020,6603740,6176329,748,280506,1497,0,1098,143562,1
Peru,2020,32838580,31029831,7089,1676968,10491,3116,1873,109211,1
Philippines,2020,112081264,102510876,7243082,46105,40753,1489,507,2238451,1
Poland,2020,38171012,34807541,2792,3300106,4089,1987,4470,50027,1
Portugal,2020,10370519,8822654,42398,1429155,20659,22715,3390,29549,1
Puerto Rico,2020,3275805,2910166,3550,340026,7209,3865,1502,9487,1
Qatar,2020,2803375,351778,2127531,7671,6124,297986,305,11982,1
Republic of the Congo,2020,5752791,5305600,84261,299098,227,202,111,63291,1
Reunion,2020,861446,754049,35895,17979,1599,38851,720,12354,1
Romania,2020,19392469,19109726,68998,182212,5765,3870,8778,13120,1
Russia,2020,146371299,102351281,11992213,29564433,515871,104273,123026,1720202,1
Rwanda,2020,13065837,12678252,236175,131695,0,497,0,19218,1
Samoa,2020,211944,206930,54,136,79,79,20,4647,1
Sao Tome and Principe,2020,217435,183593,199,21076,0,0,0,12566,1
Saudi Arabia,2020,30991207,1356705,28726928,34742,22774,812626,851,36581,1
Senegal,2020,16789220,403510,16378970,3476,51,0,51,3161,1
