Region,Country,Year,Population,Christians,Muslims,Religiously_unaffiliated,Buddhists,Hindus,Jews,Other_religions,Level,Countrycode
Sub-Saharan Africa,Mauritania,2010,"3,390,965","9,204","3,361,284","3,470",0,0,99,"16,908",1,478
Sub-Saharan Africa,Mauritania,2020,"4,600,131","10,754","4,562,658","4,899",0,0,102,"21,717",1,478
Sub-Saharan Africa,Mauritius,2010,"1,282,710","420,325","223,089","9,397","5,110","622,297",43,"2,448",1,480
Sub-Saharan Africa,Mauritius,2020,"1,283,223","421,625","224,716","9,667","5,070","619,660",43,"2,443",1,480
Sub-Saharan Africa,Mayotte,2010,"207,422","1,372","204,650",445,0,0,0,955,1,175
Sub-Saharan Africa,Mayotte,2020,"284,371","1,483","281,068",511,0,0,0,"1,308",1,175
Latin America-Caribbean,Mexico,2010,"113,623,895","107,963,147","3,908","5,486,652","14,556","2,007","69,954","83,672",1,484
Latin America-Caribbean,Mexico,2020,"126,799,055","113,070,626","7,971","13,484,255","23,158","4,967","59,338","148,740",1,484
Europe,Moldova,2010,"3,631,992","3,554,717","4,822","47,442",128,0,855,"24,027",1,498
Europe,Moldova,2020,"3,069,131","3,054,839","5,562","7,177",109,0,602,840,1,498
Asia-Pacific,Mongolia,2010,"2,701,732","58,031","89,086","1,011,681","1,455,812",80,0,"87,042",1,496
Asia-Pacific,Mongolia,2020,"3,290,786","44,178","116,036","1,343,558","1,682,746",100,0,"104,168",1,496
Europe,Montenegro,2010,"632,089","490,099","124,041","8,024",0,0,0,"9,924",1,499
Europe,Montenegro,2020,"607,935","462,311","129,533","6,951",0,0,0,"9,139",1,499
Middle East-North Africa,Morocco,2010,"32,467,016","31,444","32,356,548","42,381",0,0,"3,518","33,125",1,504
Middle East-North Africa,Morocco,2020,"36,584,208","31,271","36,465,499","47,848",0,0,"2,261","37,329",1,504
Sub-Saharan Africa,Mozambique,2010,"22,999,235","12,956,830","4,137,762","4,357,854",478,"9,968",0,"1,536,343",1,508
Sub-Saharan Africa,Mozambique,2020,"30,783,688","18,882,699","5,980,424","4,398,231",494,"9,873",0,"1,511,968",1,508
Asia-Pacific,Myanmar,2010,"49,024,382","3,042,271","2,243,819","31,545","42,958,198","282,655",79,"465,815",1,104
Asia-Pacific,Myanmar,2020,"53,016,522","3,252,951","1,773,591","31,093","47,211,798","232,962",99,"514,027",1,104
Sub-Saharan Africa,Namibia,2010,"2,109,811","2,028,574","1,405","4,728",704,"1,206",101,"73,094",1,516
Sub-Saharan Africa,Namibia,2020,"2,728,762","2,470,508","3,247","153,666",767,"1,425",110,"99,038",1,516
Asia-Pacific,Nepal,2010,"27,341,953","384,427","1,203,287",513,"2,471,228","22,289,965",0,"992,533",1,524
Asia-Pacific,Nepal,2020,"28,966,575","509,335","1,472,644",375,"2,377,791","23,516,227",0,"1,090,203",1,524
Europe,Netherlands,2010,"16,771,235","7,165,907","838,609","7,637,896","39,731","83,134","30,108","975,851",1,528
Europe,Netherlands,2020,"17,636,731","6,191,032","970,139","9,544,336","52,697","99,261","30,870","748,396",1,528
Asia-Pacific,New Caledonia,2010,"261,582","223,972","7,235","26,134","1,638",0,104,"2,498",1,540
Asia-Pacific,New Caledonia,2020,"284,177","241,842","7,844","29,907","1,776",0,100,"2,708",1,540
Asia-Pacific,New Zealand,2010,"4,347,771","2,135,362","52,098","1,920,876","65,869","101,546","6,236","65,784",1,554
Asia-Pacific,New Zealand,2020,"5,069,895","2,044,350","68,921","2,603,635","60,459","141,383","5,617","145,530",1,554
Latin America-Caribbean,Nicaragua,2010,"5,737,450","4,987,017",274,"715,842",245,0,98,"33,974",1,558
Latin America-Caribbean,Nicaragua,2020,"6,565,267","5,567,748",301,"873,454",282,0,97,"123,385",1,558
Sub-Saharan Africa,Niger,2010,"16,548,835","184,257","16,314,579","35,194",0,0,0,"14,806",1,562
Sub-Saharan Africa,Niger,2020,"23,717,614","131,926","23,274,875","290,355",0,0,0,"20,457",1,562
Sub-Saharan Africa,Nigeria,2010,"166,642,886","73,978,220","90,894,230","706,340","1,035",311,104,"1,062,644",1,566
Sub-Saharan Africa,Nigeria,2020,"213,996,181","92,770,287","119,980,188","811,712","1,027",308,103,"432,557",1,566
Asia-Pacific,North Korea,2010,"24,987,259","99,464","2,499","18,203,829","379,042",364,0,"6,302,061",1,408
Asia-Pacific,North Korea,2020,"26,136,312","100,372","2,614","19,044,889","396,455",414,0,"6,591,569",1,408
Europe,North Macedonia,2010,"2,051,505","1,337,365","683,767","29,399",235,0,98,642,1,807
Europe,North Macedonia,2020,"1,872,016","1,210,919","650,100","9,653",213,0,89,"1,042",1,807
Europe,Norway,2010,"4,889,162","3,853,305","123,189","717,630","25,997","7,479","5,598","155,964",1,578
Europe,Norway,2020,"5,379,274","3,842,008","221,290","1,207,730","36,996","12,399","5,178","53,674",1,578
Middle East-North Africa,Oman,2010,"2,757,446","120,634","2,485,157","2,098","1,676","142,530",106,"5,244",1,512
Middle East-North Africa,Oman,2020,"4,522,497","365,012","3,698,828","6,344","5,069","431,058",320,"15,867",1,512
Asia-Pacific,Pakistan,2010,"199,239,047","2,956,842","192,635,419","27,423","21,092","3,512,748",189,"85,334",1,586
Asia-Pacific,Pakistan,2020,"235,001,746","2,988,865","226,880,801","29,925","24,673","5,028,337",214,"48,931",1,586
Middle East-North Africa,Palestinian territories,2010,"4,016,916","47,363","3,968,464",0,0,0,0,"1,088",1,275
Middle East-North Africa,Palestinian territories,2020,"5,069,692","50,926","5,017,262",0,0,0,0,"1,504",1,275
Latin America-Caribbean,Panama,2010,"3,628,535","3,378,704","1,495","218,374","5,092","2,860","7,972","14,038",1,591
Latin America-Caribbean,Panama,2020,"4,293,261","3,913,647","2,280","266,631","7,358","3,999","9,997","89,349",1,591
Asia-Pacific,Papua New Guinea,2010,"7,633,523","7,596,898","7,147","28,370",272,211,101,523,1,598
Asia-Pacific,Papua New Guinea,2020,"9,815,746","9,726,407","7,339","30,479",272,221,101,"50,926",1,598
Latin America-Caribbean,Paraguay,2010,"5,737,972","5,552,007",706,"28,232","1,492",0,895,"154,639",1,600
Latin America-Caribbean,Paraguay,2020,"6,603,740","6,176,329",748,"280,506","1,497",0,"1,098","143,562",1,600
Latin America-Caribbean,Peru,2010,"29,086,020","27,324,166","2,727","817,730","3,144",746,"1,891","935,616",1,604
Latin America-Caribbean,Peru,2020,"32,838,580","31,029,831","7,089","1,676,968","10,491","3,116","1,873","109,211",1,604
Asia-Pacific,Philippines,2010,"96,337,125","88,412,669","5,367,060","73,033","35,188","1,236",419,"2,447,520",1,608
Asia-Pacific,Philippines,2020,"112,081,264","102,510,876","7,243,082","46,105","40,753","1,489",507,"2,238,451",1,608
Europe,Poland,2010,"38,095,352","37,054,388","4,986","1,009,890","5,225","1,579","3,158","16,125",1,616
Europe,Poland,2020,"38,171,012","34,807,541","2,792","3,300,106","4,089","1,987","4,470","50,027",1,616
Europe,Portugal,2010,"10,578,660","9,707,421","26,585","764,614","18,583","19,982","3,805","37,670",1,620
Europe,Portugal,2020,"10,370,519","8,822,654","42,398","1,429,155","20,659","22,715","3,390","29,549",1,620
Latin America-Caribbean,Puerto Rico,2010,"3,714,836","3,304,107","3,793","383,307","9,581","4,587","1,492","7,968",1,630
Latin America-Caribbean,Puerto Rico,2020,"3,275,805","2,910,166","3,550","340,026","7,209","3,865","1,502","9,487",1,630
Middle East-North Africa,Qatar,2010,"1,709,230","228,219","1,275,570","5,133","2,885","189,561",211,"7,650",1,634
Middle East-North Africa,Qatar,2020,"2,803,375","351,778","2,127,531","7,671","6,124","297,986",305,"11,982",1,634
Sub-Saharan Africa,Republic of the Congo,2010,"4,462,290","4,096,729","66,270","251,327",176,141,90,"47,557",1,178
Sub-Saharan Africa,Republic of the Congo,2020,"5,752,791","5,305,600","84,261","299,098",227,202,111,"63,291",1,178
Sub-Saharan Africa,Reunion,2010,"844,472","737,772","35,860","17,401","1,597","38,813",759,"12,269",1,638
Sub-Saharan Africa,Reunion,2020,"861,446","754,049","35,895","17,979","1,599","38,851",720,"12,354",1,638
Europe,Romania,2010,"20,432,574","20,283,571","69,654","42,877","1,457",352,"9,646","25,018",1,642
Europe,Romania,2020,"19,392,469","19,109,726","68,998","182,212","5,765","3,870","8,778","13,120",1,642
Europe,Russia,2010,"143,934,466","110,955,820","12,411,740","18,755,293","523,766","104,880","198,931","984,036",1,643
Europe,Russia,2020,"146,371,299","102,351,281","11,992,213","29,564,433","515,871","104,273","123,026","1,720,202",1,643
Sub-Saharan Africa,Rwanda,2010,"10,317,554","9,994,948","136,388","92,479",0,500,0,"93,238",1,646
Sub-Saharan Africa,Rwanda,2020,"13,065,837","12,678,252","236,175","131,695",0,497,0,"19,218",1,646
Asia-Pacific,Samoa,2010,"193,023","190,341",79,280,109,99,30,"2,085",1,882
Asia-Pacific,Samoa,2020,"211,944","206,930",54,136,79,79,20,"4,647",1,882
Sub-Saharan Africa,Sao Tome and Principe,2010,"181,802","149,616",299,"22,636",0,0,0,"9,251",1,678
Sub-Saharan Africa,Sao Tome and Principe,2020,"217,435","183,593",199,"21,076",0,0,0,"12,566",1,678
Middle East-North Africa,Saudi Arabia,2010,"25,157,129","843,573","23,749,854","21,606","14,252","504,591",529,"22,723",1,682
Middle East-North Africa,Saudi Arabia,2020,"30,991,207","1,356,705","28,726,928","34,742","22,774","812,626",851,"36,581",1,682
Sub-Saharan Africa,Senegal,2010,"12,635,413","430,667","12,145,340",452,40,0,40,"58,874",1,686
Sub-Saharan Africa,Senegal,2020,"16,789,220","403,510","16,378,970","3,476",51,0,51,"3,161",1,686
Europe,Serbia,2010,"7,395,865","7,061,744","239,893","90,366","1,044",251,623,"1,943",1,688
Europe,Serbia,2020,"6,907,812","6,323,101","305,329","276,925","1,005",244,661,548,1,688
Sub-Saharan Africa,Seychelles,2010,"94,971","89,318",855,"2,130",719,"1,387",0,562,1,690
Sub-Saharan Africa,Seychelles,2020,"120,291","113,016","1,074","2,839",912,"1,743",0,707,1,690
Sub-Saharan Africa,Sierra Leone,2010,"6,222,714","1,128,026","5,074,961","5,997",0,387,0,"13,343",1,694
Sub-Saharan Africa,Sierra Leone,2020,"7,912,558","1,569,006","6,341,649",953,0,769,0,182,1,694
Asia-Pacific,Singapore,2010,"5,077,014","927,552","791,537","842,865","1,676,136","273,067",295,"565,561",1,702
Asia-Pacific,Singapore,2020,"5,620,151","1,054,279","907,016","1,118,190","1,731,090","297,565",856,"511,155",1,702
Europe,Slovakia,2010,"5,391,851","4,047,327","2,174","1,331,449","2,838",287,"2,242","5,533",1,703
Europe,Slovakia,2020,"5,455,024","4,022,824","2,989","1,381,739","6,695",971,"2,067","37,738",1,703
Europe,Slovenia,2010,"2,044,612","1,480,176","18,824","540,677",463,"2,060",230,"2,182",1,705
Europe,Slovenia,2020,"2,102,420","1,375,307","33,820","678,396",807,223,487,"13,380",1,705
Asia-Pacific,Solomon Islands,2010,"532,968","507,863","1,432","1,559","1,705",49,0,"20,359",1,90
Asia-Pacific,Solomon Islands,2020,"744,498","707,440","2,530","2,438","2,530",54,0,"29,505",1,90
Sub-Saharan Africa,Somalia,2010,"12,261,757","4,660","12,238,110","2,571",0,"5,756",0,"10,660",1,706
Sub-Saharan Africa,Somalia,2020,"16,651,191","4,367","16,623,449","2,684",0,"6,660",0,"14,030",1,706
Sub-Saharan Africa,South Africa,2010,"52,344,051","44,142,834","1,016,823","3,039,670","12,518","542,129","71,261","3,518,816",1,710
Sub-Saharan Africa,South Africa,2020,"60,562,381","51,633,743","971,955","1,890,824","21,518","644,994","39,473","5,359,874",1,710
Asia-Pacific,South Korea,2010,"48,769,333","15,670,105","102,418","20,160,988","12,471,060","15,416",100,"349,246",1,410
Asia-Pacific,South Korea,2020,"51,858,482","16,587,217","160,763","25,028,780","9,853,408","47,613",100,"180,600",1,410
Sub-Saharan Africa,South Sudan,2010,"9,745,954","5,720,151","607,303","43,777",221,195,0,"3,374,306",1,728
Sub-Saharan Africa,South Sudan,2020,"10,698,467","6,472,748","665,766","47,105",243,214,0,"3,512,391",1,728
Europe,Spain,2010,"46,840,472","36,838,391","991,390","8,885,346","4,552","21,949","12,069","86,775",1,724
Europe,Spain,2020,"47,679,489","33,116,629","1,704,662","12,568,191","8,455","59,699","12,986","208,868",1,724
Asia-Pacific,Sri Lanka,2010,"20,879,089","1,591,537","2,017,767","3,738","14,636,626","2,626,586",71,"2,765",1,144
Asia-Pacific,Sri Lanka,2020,"22,561,807","1,261,286","2,301,846","15,766","15,703,005","3,279,342",62,499,1,144
Latin America-Caribbean,St. Lucia,2010,"170,907","156,416",175,"10,300",0,524,0,"3,492",1,662
Latin America-Caribbean,St. Lucia,2020,"178,251","163,516",169,"10,519",0,555,0,"3,491",1,662
Latin America-Caribbean,St. Vincent and the Grenadines,2010,"109,959","94,898",118,"8,657",0,94,0,"6,191",1,670
Latin America-Caribbean,St. Vincent and the Grenadines,2020,"103,526","89,358",111,"8,141",0,89,0,"5,828",1,670
Middle East-North Africa,Sudan,2010,"35,414,400","60,882","35,308,582","44,463",0,472,0,0,1,729
Middle East-North Africa,Sudan,2020,"46,789,231","228,321","46,253,736","263,523",0,579,0,"43,071",1,729
Latin America-Caribbean,Suriname,2010,"549,923","283,917","77,311","40,544","1,944","128,686",201,"17,320",1,740
Latin America-Caribbean,Suriname,2020,"612,317","323,222","80,153","49,654","2,350","137,488",202,"19,247",1,740
Europe,Sweden,2010,"9,378,232","6,822,866","423,638","2,013,584","56,811","24,418","8,358","28,558",1,752
Europe,Sweden,2020,"10,353,687","6,292,071","838,566","2,992,876","86,937","46,800","16,396","80,041",1,752
Europe,Switzerland,2010,"7,825,754","5,740,058","396,963","1,571,751","42,789","40,868","19,169","14,155",1,756
Europe,Switzerland,2020,"8,640,582","5,320,913","525,613","2,658,287","53,493","46,609","19,529","16,137",1,756
Middle East-North Africa,Syria,2010,"22,482,421","1,931,126","20,113,815","434,826",0,"2,001",121,532,1,760
Middle East-North Africa,Syria,2020,"21,049,429","808,455","19,821,403","416,788",0,"2,105",118,559,1,760
Asia-Pacific,Taiwan,2010,"23,224,049","1,146,620","80,171","5,289,014","4,847,485",0,0,"11,860,759",1,158
Asia-Pacific,Taiwan,2020,"23,663,459","1,310,788","117,797","5,464,327","4,540,722",0,0,"12,229,824",1,158
Asia-Pacific,Tajikistan,2010,"7,652,141","76,536","7,568,826","5,705",412,351,0,311,1,762
Asia-Pacific,Tajikistan,2020,"9,749,311","97,515","9,643,445","7,268",409,358,0,317,1,762
Sub-Saharan Africa,Tanzania,2010,"44,758,488","27,607,462","15,836,936","974,808",139,"4,465",129,"334,549",1,834
Sub-Saharan Africa,Tanzania,2020,"60,972,798","39,444,311","18,211,243","2,120,731",109,"3,953",109,"1,192,342",1,834
Asia-Pacific,Thailand,2010,"68,579,448","835,783","3,459,373","48,758","64,085,976","49,259",201,"100,099",1,764
Asia-Pacific,Thailand,2020,"71,641,484","740,494","3,234,319","9,048","67,624,158","28,923",200,"4,341",1,764
Asia-Pacific,Timor-Leste,2010,"1,084,680","1,078,335","2,070","1,913",399,"1,710",0,252,1,626
Asia-Pacific,Timor-Leste,2020,"1,326,054","1,319,892","3,404",847,402,171,0,"1,338",1,626
Sub-Saharan Africa,Togo,2010,"6,732,590","3,932,378","1,092,021","509,565",123,102,26,"1,198,376",1,768
Sub-Saharan Africa,Togo,2020,"8,669,721","4,931,705","1,399,132","694,686",133,103,26,"1,643,936",1,768
Asia-Pacific,Tonga,2010,"107,400","105,049",25,301,191,105,0,"1,729",1,776
Asia-Pacific,Tonga,2020,"105,704","103,340",64,614,62,83,0,"1,540",1,776
Latin America-Caribbean,Trinidad and Tobago,2010,"1,386,654","964,780","76,877","35,356",448,"289,567",98,"19,527",1,780
Latin America-Caribbean,Trinidad and Tobago,2020,"1,481,024","1,036,976","80,927","36,264",435,"305,346",293,"20,783",1,780
Middle East-North Africa,Tunisia,2010,"10,765,980","24,704","10,700,500","39,887",0,0,889,0,1,788
Middle East-North Africa,Tunisia,2020,"11,974,057","29,537","11,890,693","52,843",0,0,985,0,1,788
Asia-Pacific,Turkey,2010,"73,346,769","476,814","72,341,063","133,939","30,808","23,812","18,296","322,037",1,792
Asia-Pacific,Turkey,2020,"86,091,692","117,069","83,600,950","2,177,260","45,547","37,144","25,210","88,512",1,792
Asia-Pacific,Turkmenistan,2010,"5,564,356","354,481","5,176,014","28,256",633,106,211,"4,656",1,795
Asia-Pacific,Turkmenistan,2020,"6,949,912","390,253","6,552,928","4,996",467,111,222,934,1,795
Latin America-Caribbean,U.S. Virgin Islands,2010,"106,311","100,761",113,"3,959",0,452,351,675,1,850
Latin America-Caribbean,U.S. Virgin Islands,2020,"87,707","82,866",92,"3,536",0,369,292,551,1,850
Sub-Saharan Africa,Uganda,2010,"32,390,802","28,383,646","3,629,678","5,008",200,"1,502",90,"370,677",1,800
Sub-Saharan Africa,Uganda,2020,"44,457,153","39,008,617","5,073,864","42,181",356,"2,372",463,"329,299",1,800
Europe,Ukraine,2010,"46,456,003","39,699,613","419,362","6,150,644","46,596","5,308","46,596","87,883",1,804
Europe,Ukraine,2020,"44,680,015","37,276,433","253,705","6,766,595","149,418","5,658","42,764","185,442",1,804
Middle East-North Africa,United Arab Emirates,2010,"6,938,363","912,831","5,212,675","21,419","10,660","749,553",959,"30,266",1,784
Middle East-North Africa,United Arab Emirates,2020,"9,448,524","1,352,428","6,891,776","31,731","15,792","1,110,535","1,418","44,843",1,784
Europe,United Kingdom,2010,"63,006,483","39,302,828","3,313,047","18,135,823","283,117","926,556","284,592","760,521",1,826
Europe,United Kingdom,2020,"67,351,862","33,251,891","4,289,719","27,087,678","307,872","1,141,913","296,871","975,918",1,826
North America,United States,2010,"311,062,790","243,496,650","2,772,150","51,184,777","3,583,701","1,789,528","5,705,286","2,530,697",1,840
North America,United States,2020,"339,436,159","217,273,083","4,047,372","100,914,371","4,384,653","3,035,529","5,733,777","4,047,372",1,840
Latin America-Caribbean,Uruguay,2010,"3,318,580","2,023,645",713,"1,203,443",0,0,"17,223","73,556",1,858
Latin America-Caribbean,Uruguay,2020,"3,398,968","1,512,245","3,035","1,781,393",0,0,"16,256","86,039",1,858
Asia-Pacific,Uzbekistan,2010,"28,385,507","952,991","27,179,293","171,538","19,060","57,179","4,265","1,180",1,860
Asia-Pacific,Uzbekistan,2020,"33,586,372","932,125","32,116,038","185,391","4,959","9,236","2,805","335,818",1,860
Asia-Pacific,Vanuatu,2010,"238,248","196,811",58,"2,584",49,49,39,"38,658",1,548
Asia-Pacific,Vanuatu,2020,"298,859","249,558",58,"4,084",48,58,38,"45,015",1,548
Latin America-Caribbean,Venezuela,2010,"28,813,101","25,746,820","14,351","2,429,254","6,148",0,"11,533","604,996",1,862
Latin America-Caribbean,Venezuela,2020,"28,444,078","25,063,617","13,957","2,766,969","6,070",0,"4,992","588,472",1,862
Asia-Pacific,Vietnam,2010,"87,455,152","7,691,998","76,467","54,348,859","24,125,287","57,326",125,"1,155,090",1,704
Asia-Pacific,Vietnam,2020,"98,079,191","8,170,016","70,694","66,373,765","22,578,634","40,495",125,"845,463",1,704
Middle East-North Africa,Western Sahara,2010,"409,716",677,"407,710","1,161",0,0,0,168,1,732
Middle East-North Africa,Western Sahara,2020,"549,365",847,"546,903","1,390",0,0,0,225,1,732
Middle East-North Africa,Yemen,2010,"26,754,387","29,750","26,695,431","20,230",147,"5,406",259,"3,164",1,887
Middle East-North Africa,Yemen,2020,"36,134,864","20,138","36,085,366","22,243",197,"2,798",73,"4,047",1,887
Sub-Saharan Africa,Zambia,2010,"13,965,594","13,642,001","70,598","11,088",304,"2,542",172,"238,890",1,894
Sub-Saharan Africa,Zambia,2020,"19,059,395","18,731,646","97,449","11,389",363,"3,061",191,"215,296",1,894
Sub-Saharan Africa,Zimbabwe,2010,"13,356,548","11,278,972","67,145","1,667,285","5,805","6,528",416,"330,397",1,716
Sub-Saharan Africa,Zimbabwe,2020,"15,526,889","13,539,476","82,154","1,636,517","5,777","5,918",198,"256,850",1,716
